Title,Type,Rating,Vote Count,Start Date,Studio
Aggretsuko,ONA,8.93,201,"Apr 20, 2018",Fanworks
Aggretsuko: Season 4,ONA,8.38,93,"Dec 16, 2021",Fanworks
Aggretsuko: Season 2,ONA,9.07,97,"Jun 14, 2019",Fanworks
Aggretsuko: Season 3,ONA,9.33,102,"Aug 27, 2020",Fanworks
Aguu: Genius Dolls,TV,6.45,57,"Jul 10, 2018",Studio Deen
Aggretsuko: Season 5,ONA,9.09,87,"Feb 16, 2023",Fanworks
Aggretsuko: We Wish You A Metal Christmas,ONA,8.5,40,"Dec 20, 2018",Fanworks
Ah My Buddha!!,TV,8.34,152,"Jul 01, 2005",Studio Deen
Ah My Buddha Katsu,TV,8.31,73,"Jan 04, 2006",Studio Deen
Ah My Buddha Katsu Special,SPECIAL,6.43,30,"Jun 21, 2006",Studio Deen
Aharen-san wa Hakarenai,TV,9.26,5517,"Apr 02, 2022",Felix Film
Ah! My Buddha Special,SPECIAL,7.54,29,"Dec 21, 2005",Studio Deen
Ah! My Goddess: The Movie,MOVIE,8.63,43,"Oct 21, 2000",AIC
Ai and Yuuto: Their First Errand,ONA,9.33,10,?,
Ahiru no Sora,TV,8.82,2403,"Oct 02, 2019",Diomedea
AHO-GIRL,TV,9.12,2334,"Jul 04, 2017",Diomedea
Ai no Gakko Cuore Monogatari,TV,8.02,15,"Apr 03, 1981",Nippon Animation
Ai Mai! Moe Can Change!,OVA,8.67,9,"May 25, 2012",Frontier Works
Ai Monogatari: 9 Love Stories,OVA,9.2,10,"Apr 02, 1993",Studio Deen
Ai no Senshi Rainbowman,TV,5.71,7,"Oct 10, 1982",Tsuchida Productions
Ai no Kusabi,OVA,7.86,197,"Aug 01, 1992",AIC
Ai no Kusabi (2012),OVA,7.37,347,"Jan 18, 2012",AIC
Ai Shoujo Pollyanna Story Specials,SPECIAL,8.43,7,Apr 2001,Nippon Animation
Ai no Wakakusa Yama Monogatari,TV,7.19,9,"Aug 01, 1999",Gainax
Ai Shoujo Pollyanna Monogatari,TV,9.05,28,"Jan 05, 1986",Nippon Animation
Ai Yori Aoshi,TV,9.04,275,"Apr 11, 2002",J.C.Staff
Ai Tenchi Muyo!,TV,7.97,87,"Oct 06, 2014",AIC PLUS+
Ai to Shi,SPECIAL,7.5,4,"Mar 30, 2013",add some
Ai Yori Aoshi: Speaking of Dreams,SPECIAL,8.36,28,"Apr 01, 2002",J.C.Staff
Ai Yori Aoshi: Enishi,TV,8.6,135,"Oct 13, 2003",J.C.Staff
Ai Yori Aoshi: Enishi - Miyuki,SPECIAL,8.76,34,"Dec 31, 2003",J.C.Staff
Ai-Mai-Mi Surgical Friends,TV,9,47,"Jan 03, 2017",Seven
Ai-Mai-Mi,TV,7.08,36,"Jan 03, 2013",Seven
Ai-Mai-Mi Mousou Catastrophe,TV,9.21,12,"Jul 08, 2014",Seven
AIKa: ZERO,OVA,8.24,66,"Jul 06, 2009",Studio Fantasia
AIKa R-16: Virgin Mission,OVA,8.66,57,"Apr 25, 2007",Studio Fantasia
AIKa: Special TRIAL,OVA,7.06,18,"May 25, 1998",Studio Fantasia
Aikatsu Friends!: Kagayaki no Jewel,TV,9.47,59,"Apr 04, 2019",Bandai Namco Pictures
AIKa: ZERO Picture Drama,SPECIAL,6.31,28,"Aug 25, 2009",Studio Fantasia
Aikatsu Friends!,TV,9.26,125,"Apr 05, 2018",Bandai Namco Pictures
Aikatsu Planet!,TV,8.13,537,"Jan 10, 2021",Bandai Namco Pictures
Aikatsu on Parade!,TV,9.44,96,"Oct 05, 2019",Bandai Namco Pictures
Aikatsu on Parade! (ONA),ONA,8.47,41,"Mar 28, 2020",Bandai Namco Pictures
